name,total_m,segments_count,street_count
Dúhová,7415.741995634019,53,19
A. Sládkoviča,7400.157866878343,32,15
Sasinkova,7395.1633590807405,58,19
Žitavská,7372.620546529476,20,14
Odbojárov,7328.240823225209,35,17
Michalská,7325.377514073845,47,11
Tunel Čebrať,7317.410612080988,2,1
Sadovská,7306.500143996801,9,1
Konopná,7277.968030246045,28,19
Zelená cesta,7269.219398364164,13,1
Narcisová,7266.973822072425,49,27
Tekovská,7257.4648179235755,41,14
Hornádska,7248.198172746044,35,20
B. Němcovej,7239.642389902867,31,17
Jelenecká,7223.575313546805,18,1
Moravská,7216.560988548327,26,12
Slatinská,7198.7551876281295,22,4
Jána Bottu,7177.72126385576,49,16
Fatranská,7173.876730570156,55,12
Na záhumní,7158.151230267196,38,15
Námestie 1. mája,7154.291318734796,99,18
Hoskorná,7133.162726836328,8,1
Pod Kalváriou,7125.968044410308,49,9
Martina Rázusa,7121.319492425388,36,10
Hričovská,7113.392697880194,41,2
Viedenská cesta,7103.447717935276,56,2
Remeselnícka,7096.978422729269,36,13
Masarykova,7065.156487758607,61,4
Tulská,7042.498738100495,60,5
Cesta kolečková,7032.13320900073,4,1
Pri mlyne,7016.306845874896,46,16
8. mája,7003.8090951014,34,12
Žiarska,6957.654101734979,29,4
Petra Jilemnického,6941.604210268188,28,10
Jedľová,6940.855824539388,48,26
Gemerská,6917.768729530053,61,10
Požiarnická,6894.356842159963,61,19
Ondavská,6868.101584717325,47,15
Jasná,6849.655820075287,38,22
Kolárovská,6834.289076495876,15,2
Slnečnicová,6814.537928797596,43,15
Levanduľová,6812.28470297249,47,19
Banská,6777.224908863539,30,8
Seredská,6756.87061165515,35,6
Maša,6747.0928894608,22,5
Ružinovská,6735.404411675419,46,1
Legionárska,6705.90355090162,68,8
Priehradná,6678.511963537834,34,9
Mateja Bela,6665.162484583291,45,12
Inovecká,6664.721439918033,36,20
Jahodová,6650.445118478698,43,23
Clementisova,6640.512189065012,30,11
Domovina,6639.1829570690825,18,9
Karloveská,6610.258751730769,76,1
Dolina,6573.185139068017,17,8
Sekierska dolina,6555.550344394012,9,1
Študentská,6527.644877239334,48,8
Sekčovská,6525.500760938255,26,4
Stará hora,6517.323390112195,14,3
Dobšinského,6509.907840686504,40,16
Slanská,6496.9075931221405,25,5
Drieňová,6493.274289031844,29,11
Špitálska,6472.611080348755,54,11
Obecná,6467.047170285118,25,11
Žilinská cesta,6464.808737968691,44,4
Petöfiho,6450.088389366754,40,13
Odborárska,6417.4943771381895,42,8
Biskupická,6413.589933244946,27,3
Opatovská,6400.041381278012,42,8
