name
059008-12
Bývalá cesta č.553
Bzinská
Bzovícka
Cabadajová
Cabajská
Cabanova
Cablkova
Cabov
Čachovský rad
Čachtická
Čáčovská cesta
Cádrova
Čajakova
Čajkovského
Cajlanská
Čakanková
Čakanovská
Čakanská cesta
Čaklovská
Čáklovská
Čaksová
Čaládka
Čalovecká cesta
Čalovka
Čalovská
Camberove
Čandalová
Čaneckého
Čanianska
Cankova záhrada
Čapajevova
Čapáš
Čapášska
Caplárova Past
Čárskeho
Čataj
Čatajská cesta
Čat. Nebiljaka
Čavojského
C. Baňka
Cecílie Tomašovskej
Čečinová
Cedronská
Cédrová
Cejkovská
Čeladická
Čeladická II
Celiny
Čelno
Čeľovská
Cementárenská
Cementárenská cesta
Cementárska
Čemernianska
Cemjata
Centrálka
Centrálna
Centrálna hviezdica
Central pasáž
Central passage
Centrum
Centrum I.
Centrum II.
Čepeľ
Čepeňská
Čepiel
Ceprostrada
Čerenčianska
Čerencová
Čerešňárka
Čerešňová
Čerešňová alej
Čerešňová aleja
Čerešňový rad
Čerešňový sad
Cergátova
Čergovská
Čerhovská
Čerlinská
Čermanská
Čermánske námestie
Čermeľ
Čermeľská cesta
Čermeľské prielohy
Čermeľské údolie
Černáčkin most
Černákova
Čerňakovo
Čerňanská
Čerňavská
Černicová
Černicový rad
Černík
Černockého
Černovská
Černovských martýrov
Černyševského
Cerová
Cerovská
Čérska cesta
Čertove potočky
Červená
Červená cesta
Červená hora
Červenákova
Červeňákova
Červeňanského
Červená veža
Červeného kríža
Červenej armády
Červenej Armády
Červené kopanice
Červeník
Červenova
Červený breh - Dual Slalom
Červený chodník
Červený potok
Červený potok I
Červený rak
Česká
Česká bašta
Českej Lípy
Československého odboja
Česko-slovenskej armády
Československej armády
Česko Slovenskej Armády
Československých letcov
Československých parašutistov
Československých Partizánov
Československých tankistov
Cesnaková
cesta
Cesta aradských mučeníkov
Cesta armády
Cesta boľavých nožičiek
Cesta do Hanisky
Cesta do Rudiny
Cesta do stredoveku - Korlátka
Cesta do tehelne
Cesta družby
Cesta Gemerských Žriediel
Cesta k Dunaju
Cesta k futbalovému ihrisku
Cesta k lesu
Cesta k nemocnici
Cesta kolečková
Cesta k Paľovej búde
cesta k pláži v Sielnickej zátoke
Cesta kráľa IV. Bélu
Cesta k Smrečine
Cesta k soche
Cesta k stavbe
Cesta ku Continentalu
Cesta ku koňom
Cesta k vodojemu
Cesta k záhradám
Cesta k železničnej trati
Cesta mládeže
Cesta na Almáš
Cesta na amfiteáter
Cesta na Brús
Cesta na Červený most
Cesta na Ciglédku
cesta na cintorín
Cesta na Gajc
Cesta na Hájik
Cesta na Hohenau
Cesta na Jandovú
Cesta na Kamzík
Cesta na Klanec
Cesta na Kopáč
Cesta na Lél
Cesta na Ontopu
Cesta na Ronku
Cesta na Senec
Cesta na Skalu
Cesta na štadión
Cesta na Suchu Bukovinu
Cesta na vinohrady
Cesta na Vlkolínec
Cesta na vodáreň
Cesta na vŕšku
Cesta na záhumnie
Cesta obrov
Cesta olympionikov
Cesta Örkejská
Cesta osloboditeľov
Cesta pod Bánošom
Cesta pod Banskou
Cesta pod Hradovou
Cesta pod Kopu
Cesta pod lesom
Cesta pod skalou
Cesta poľnohospodárov
Cesta pri Biskupickom ramene
Cesta pri železnici
Cestárska
Cesta siedmich vojvodcov
Cesta slobody
Cesta SNP
Cesta stará
Cesta svätého Krištofa
Cesta svätého pápeža Jána Pavla II.
Cesta svätého Petra
Cesta svetla
Cesta sv. Ladislava
"Cestice, Dobogov"
Cetínska
Cetunská
Cez Kačky
Cezmínová
Cez ohrady
Cez panské
Cezpoľná
Cez vody
Chabenecká
Chalcedónová
Chalmovská
Chalupárska
Chalupkova
Chalupy
Charkovská
Chatárska
Chatarsky chodnik
Chatová osada
Chemická
Chemikov
Chemlonská
Chladná
Chladné oči
Chlmecká
Chlmecké námestie
Chmelinec
Chmelínska
Chmelník
Chmeľníky
Chmeľová
Chmeľová dolina
Chočská
Chodecká
Chodnické
Chodník Hradská hora
Chodnik k Belej
Chodník korunami stromov Bachledka
Chodník korunami stromov Bachledova dolina
Chodník lásky
Chodnik Liptovske Mury
Chodník lyžod
Chodník Lyžod
Chodnik na Cacinsku cerinu
Chodnik na Demanovske sedlo
chodnik na Spalenu
Chodník Ondreja Prekopa
Chodník popod Účovník
Chodník slávy
Chodník sovích strážcov
Chorepa
Chorvátska
Chotárna
Chotárna cesta
Chotčanská
Chotínska
Chovateľská
Chrapčiakova
Chrasť
Chrastie
Chrasťová
Chrenová
Chrenoviská
Chrenovo
Chrenovská
Chrenovský most
Chríb
Chrobákova
Chryzantémová
Chudovská
Chvatimech
Chvojnícka
Chytrý chodník
Chyzerova
Chyzerovecká
Cibická cesta
Cibislávska
Cíbove Dvory
Čičarovská
Čičkánikova
Čičky-majer
Čičmanská ulica
Čičovská
Čierna dolina
Čierna skala
Čierna terasa
Čierne
Čierne blato
Čiernohájska
Čiernohorská
Čiernohorská cesta
Čiernomorská
Čiernovodská
Čierny chodník
Čierný Les
Čierny lúh
Cíferská
Čiga
Cigaňákova
Cigánska cesta
Cígeľská
Čigérska
Ciglédka
Ciglédska
Ciglianska
Ciglianska cesta
Cikkerova
Čilistovská
Čiližská
Čilizský Rad
Cimborkova
Čingov
Čingovská
Cinkot horný
Cinkot stredný
Cínová
Čínska
Cintorinská
Cintorínska
Cintorínska cesta
Cintorínska ulica
Cintorínsky rad
Cintulova
Ciolkovského
Čipkárska
Čipkeš
Cirkevná
Cirmánska
Ciroková
Cirošská
Cirovská
Cisárka
Cisárska bašta
Cisársko
Čistonek
Citrínová
City Gate Passage
Čižmárová
Čižmárska
Čkalovova
Clementisova
Člnková
Cmárovo
Čmeľovec
Coboriho
Coburgova
Colnícka
Čopská
Corgoňove schody
Čorgovská
Čótfa
Cottbuská
Cpinova
Črchľa
Čremchová
Čremošná
Čriedna cesta
ČSA
Čs. brigády
Csenárova
Cserfa utca
Csermelyova
Csillagova
Čsľa
ČSĽA
Čsl. armády
Čsl. Armády
Čsľ. armády
Čsl. brigády
Csokonaiho
Csokonai utca
Csontváry utca
Ctibora Krčmára
Ctiborova
Cubínkova
Čučmianska
Čučmianska dlhá
Čučoriedková
Čudo
Čukáraboň
Cukrová
Cukrovar
Cukrovarnícka
Cukrovarská
Čulenova
Čuntava
Čurgov
Čúri
Čutkovská
Cvičná
Cyklistická
Cyprichova
Cyprušteková
Cyrila Gallaya
Cyrilova
Czadeczka
Czambelova
Czibókova
Dadanova
Daliborovo námestie
Daľkovská
Dallošova
Damborského
Damjanich János utca
Damjanichova
Damjanich utca
Dammstraße
Daniela Dlabača
Daniela Ertla
Daniela Michaelliho
Daniela Šlachtu
Danielova
Dankó Pista út
Dankó Pista utca
Dankó telep
Danková
Dankovského
Danky Košanovej
Dánoš
Danová
Danov vrch
Darányiho
Darg. hrdinov
"Darg. hrdinov, Miestny úrad"
Dargovská
Dargovských hrdinov
Dariny Kráľovenskej
Darmovise
Ďatelinná
Ďatelinová
Ďatlia
Dávida Frölicha
Dávidova
Dávidov chodník
Davidovská
Dawny trakt Chochołowska - Orawice
Daxnerova
Daxnerovo námestie
Deák Ferenc utca
Debnáreň
Debnárska
Debraďská
Dechtáre
Dechtárska
Dedičná
Dedina
Dedinská
Dedinské lúky
Dedinské Ostrovy
Dedinský rad
Dedovec
Dekana Dúbravického
Dekana Sčasného
Dekréta Matejovie
Dekr. Matejovie
Delava
Delená
Delená cesta
Delevarová
Delnianska
Demänovská
Demänovská cesta
Dénešova
Denisova
Denkpáli bukó
Depo Krasňany
Desiata
Detrícka
Detská
Detský lesný náučný chodník v Starých Horách
Detvianska
Detvická
Devätinová
Devátová
Dévér utca
Devínska
Devínska cesta
Dezidera Štraucha
DH
Diakovská
Diaľničná
Diaľničná cesta
Diamantová
Diana utca
Dibákovo
Dibrovova
Díčova
Diel
Dielce
Dielec
Dielenská
Dielenská Kružná
Dielik
Dielnice
Dielničky
Dielno
Diely
Dikorasova
Dilongova
Dimečky
Dimitrovova
Diófa utca
Dirt Park Prešov
Divadelná
D. Kovalovského
D. Kubíka
D. Kužela
Dlhá
Dlhá lúka
Dlhá Lúka
Dlhá siaha
Dlhé
Dlhé diely
Dlhé diely I
Dlhé diely II
Dlhé diely III
Dlhé hony
Dlhé lúky
Dlhé Lúky
Dlhé nivy
Dlhé Vysoké pole
dlhogúňový
Dlhomíra Poľského
Dlhovanská
Dlhoveská
Dlhovského
Dlhý dvor
Dlhý rad
Dlhý závoz
Długa
Dlžiny
D. Makovického
D. Maróthyho
D. Millyho
Dneperská
Do Baničného
Dobó utca
Dobranská
Dobránska
Dobráňska
Do Brezičia
Do Brezín
Do Brezníka
Dobrianskeho
Dobrienková
Dobronivská cesta
Dobrovičova
Dobrovoľnícka
Dobšinského
do Bystrého sedla
Dobytčia
Do Charvátov
Do Chmelína
Do cintorína
Do dediny
Dodekova
Do Dielca
Do doliny
Do Doliny
Do dubu
Do Gáborovho sedla
Do Gazárky
Do hája
Dohnalova
Do Hrbov
Do Jamníka
Do jarku
Do kameňolomu
dokoncenie
do Krámcov
Do Kratín
Doktora Guhru
Doktora Hálka
Do Kutiny
Dolečková
Doležalova
Dolichénska
Dolina
Dolinka
Dolinky
Dolinská
Dolinský potok
Doliny
Dolná
Dolná Gedra
Dolná jablčná
Dolná kolónia
Dolná Kostolná
Dolná Kružná
Dolná mlynská
Dolná Resla
Dolná Rosinská
Dolná Roveň
Dolná ružová
Dolná Slatinka
Dolná Strieborná
Dolná štvrť
Dolná Trnovská
Dolná záhradná
Dolna zvaznica
Dolné bašty
Dolné diely
Dolné Fafáky
Dolné grunty
Dolné Hony
Dolné hrady
Dolné lúky
Dolné pažite
Dolné pole
Dolné Rakovce
Dolné Rudiny
Dolné Suroviny
Dolné vinice
Dolné záhumnie
Dolné Záhumnie
Dolné žobráky
Dolní konec
Dolnobárska cesta
Dolnočepeňská
Dolnočermánska
Dolnohorská
Dolnokamenčianska
Dolnokorunská
Dolnomajerská
Dolnopeterská
Dolnopotočná
Dolnorohamtérska
Dolnosecká
Dolnostredská
Dolnozemská cesta
Dolnozoborská
Dolný Balkán
Dolný Chríb
Dolný cintorín
Dolný diel
Dolný dvor
Dolný Grúnikov traverz
Dolný Irtáš
Dolný koniec
Dolný lesnícky chodník
Dolný majer
Dolný mlyn
Dolný rad
Dolný Rad
Dolný riadok
Dolný Šianec
Dolný Štverník
Dolný Talag
Dolný Urban
Dolný val
Dolomitová
Dolová
Dolská
Domadická
Do Magúr
Do majera
Domašanská
Domašská
Do Mažiarca
Domčeková
Do Medzilužia
Domiciánova
Dominikánske námestie
Dominika Tatarku
Dominova alej
Dominova cesta
Domkárska
Domkársky rad
Domky
Do mlyna
Do Mlyna
Domoňa
Domové role
Domovina
Domoviny
Dona Sandtnera
Donátova
Donátová
Dončova
Donnerova
Donská
Do parku
Do parohu
Do Pažíť
Do Pešti
Do poľa
Do Políka
Do Potôčka
Dopravná
do Račkovho sedla
Do Rakov
Dorastenecká
Do Remanancií
Ďorocká
Do Roháča
Do Rosiny
Do Rovní
Do sadov
Do Schroniska
Do Stávku
Dostihová
Dostojevského
Dostojevského rad
Do Stošky
Do toboliny
Do Trávnika
Doubravenská alej
Do Uhliska
Do Ulice
Do Vaľov
Do vápenice
Dovčíkova
Do Vrbiny
Do záhrad
Do Zgody
Do Žlebín
Dózsa György köz
Dózsa György út
Dózsa György utca
Dózsa köz
Dozsova
Do Zúbrej
Drabova
Dr. Adámyho
Drahová
Dráhová
Drahy
Dráhy
Dr. Alexandra
D. Rapanta
Dražická
Dražovská
Dr. Bodického
Dr. Bokesa
Dr. Daniela Fischera
Dr. D. Úradníčka
Drehňovec
Drehňovská
Drevárska
Drevená
Drevenárska
Drevenice
Drevený most k Donjonu
Drevný trh
Drevosklad
Dr. F. Buchtu
Dr. Goldbergera
Dr. Greša
Dr. G. Schaefflera
Dr. Herza
Drienková
Drieňová
Drienovská
Drieňovská
Dr. Imricha Tótha
Dringačská
Driver 8
Dr. Jána Greša
Dr. Jána Lajčiaka
Dr. Jána Rumanna
Dr. Jána Zelenyáka
Dr. Jánskeho
Dr. Jánského
Dr. J. Budayho
Dr. J. Ďuroviča
Dr. J. Šátka
Dr. Kautza
Dr. Kostlivého
Dr. Leščáka
Dr. Ľ. Nováka
Dr. Ľ. Okánika
Dr. Lučanského
Dr. Markušovského
Dr. Mašurku
Dr. M. Korauša
Drobná
Drobného
Drocarov park
Droga Oswalda Balzera
Droga Po Głazach
Droga w zimie nieprzejezdna
Dropa
Dropia
Dropie
Drotárska cesta
Drozdia
Drozdí chodník
Drozdová
Dr. P. Adámiho
Dr. Pantočku
Dr. Petra Zaťka
Dr. Rudolfa Macúcha
Dr. Špirka
Dr. Štefana Heska
Dr. Štohla
Dr. Št. Osuského
Dr. Tőrőka
Dr. Tulassay József tér
Druhá
Druhá priečna
Druhá strana
Druhá strana - smer Úboč
Druhá strana - smer Vyšný koniec
Druhá za parkom
Druhý mostík
Druidská
Družby
Družicová
Družinská
Družobná
Družstevná
Družstevnícka
Družstevníkov
Družstevný rad
Dr. Valacha
Dr. V. Cintulu
Dr. Viestovej
Dr. Vodu
D. Štubňu
