name,total_m,segments_count
Pivovarská,8881.639170198292,45
Za humnami,8801.718124477042,30
Strojnícka,8755.290983792502,35
Vlčie hrdlo,8671.026824178702,59
Južná trieda,8661.49944735042,104
Považská,8617.067915319438,63
Vysoká,8604.135776819377,48
Bočná,8587.15430514006,51
Moldavská cesta,8584.860722448122,62
Dolnozemská cesta,8576.501564764018,79
Partizánska dolina,8574.45626097948,21
J. Jesenského,8572.055188423841,46
Saratovská,8564.934516264546,74
Zvolenská,8557.869054213883,46
Mostová,8556.548145863897,54
Turistická,8498.42880030561,31
Západná,8485.522815627652,48
Vihorlatská,8411.747294201468,46
Jantárová,8378.10128865577,62
Sabinovská,8355.375109523966,48
Záhumnie,8341.80619320556,36
Na vŕšku,8236.973683266773,44
Roľnícka,8228.220300677118,45
Nezábudková,8177.64795583927,41
Družby,8166.453697494089,40
Rovná,8162.49464650671,47
Devínska cesta,8152.187073792376,21
Hrdinov SNP,8133.352555836359,28
Škultétyho,8120.671606290711,61
Jazdecká,8120.451307454353,35
Hodonínska,8112.470832371024,82
Železničný rad,8105.280569201362,29
Žilinská,8046.685649891649,42
Sama Chalupku,8033.776816775567,44
Hviezdna,8015.031739844884,45
Kasárenská,8000.903895436783,43
Zakvášov,7994.972626279623,60
Rozmarínová,7976.195929765382,51
Urbárska,7973.434926326802,40
Sv. Cyrila a Metoda,7940.8628414517025,64
Droga Oswalda Balzera,7935.04637056852,19
Polovnicky chodnik,7920.688035024664,9
Tlmačská cesta,7871.505609206147,18
Oslobodenia,7827.1358622405605,30
ČSA,7779.936879599738,27
Levická,7754.47192072844,43
Jókaiho,7699.782182366283,32
Fialková,7698.274602543127,50
Vodná,7624.896678802477,36
Petrovianska,7609.265264309563,46
Blatná,7593.409323384763,27
Kolónia,7593.310903620893,35
Hasičská,7477.318272664581,65
Armádneho generála Svobodu,7477.172165701959,92
Vyšný koniec,7442.895698134809,22
Petőfiho,7429.037289527041,22
Dúhová,7415.695123856925,35
A. Sládkoviča,7400.157847840292,32
Sasinkova,7395.1895067911,57
Žitavská,7372.620545951291,20
Murgašova,7357.1690174709565,39
Odbojárov,7330.049197222435,33
Michalská,7328.60189030435,46
Sadovská,7306.497667838431,9
Narcisová,7278.672198498294,49
Konopná,7272.6508697343415,28
Drieňová,7272.536136688384,30
Zelená cesta,7269.219397511885,12
Tekovská,7257.084868072846,41
Tunel Čebrať,7224.562263407512,2
Jelenecká,7222.764684177475,18
Moravská,7216.590689490151,25
Slatinská,7187.290301223007,22
Jána Bottu,7175.750231837668,48
Fatranská,7173.57627167095,54
Na záhumní,7156.2643189569535,34
Námestie 1. mája,7154.291316192871,99
Masarykova,7133.506799426454,61
Hoskorná,7133.162726836329,8
Pod Kalváriou,7125.968042031655,49
Hričovská,7113.617710738092,40
Hornádska,7107.980282660061,33
Martina Rázusa,7107.6090888248555,36
Remeselnícka,7096.989132383423,36
B. Němcovej,7088.439326013955,30
Tulská,7042.7004146185955,60
Cesta kolečková,7032.133208826804,4
8. mája,7003.367638688329,32
Pri mlyne,6983.845690996471,42
Pod hájom,6982.302631907558,30
Viedenská cesta,6959.281523945029,54
Jedľová,6940.8273399147,48
Petra Jilemnického,6940.453256607168,27
Gemerská,6917.4153165944535,61
Banská,6914.613046650686,25
Požiarnická,6866.602689286292,58
Jasná,6849.578261332976,36
Slnečnicová,6848.180858377327,42
Kolárovská,6826.2209701866095,9
Levanduľová,6812.284992245375,43
Seredská,6756.5939601506525,28
Maša,6739.772846575581,22
Ružinovská,6735.404722784666,46
Mateja Bela,6665.387224475926,45
Inovecká,6664.721439918032,36
Clementisova,6664.704920622993,30
Jahodová,6649.73211959541,42
Domovina,6639.182957069082,18
Karloveská,6607.579182878364,76
Priehradná,6581.811326179364,33
Legionárska,6570.77534411496,64
Sekierska dolina,6555.597283908892,9
Študentská,6531.535510712634,44
Sekčovská,6523.829710771855,27
Stará hora,6517.323390112195,14
Dobšinského,6510.573167720522,40
Slanská,6495.788634348394,25
Špitálska,6480.516730516701,53
Dolina,6470.426671951419,16
Obecná,6467.067065310246,25
Petöfiho,6450.104406967013,39
Odborárska,6417.3554403177795,40
Biskupická,6413.5981158183295,29
Opatovská,6400.724731381269,42
Lieskovská cesta,6399.488524153743,32
Nábr. I. Krasku,6382.815166973187,20
Holubyho,6370.10423516791,41
Pekárenská,6351.75028748411,29
Sídlisko,6344.521543426672,53
Borovicová,6330.5060377626805,33
T. Vansovej,6324.301497003953,38
Severná tangenta,6323.876063361214,15
Slov. nár. povstania,6271.6610914078165,28
Vinianska cesta,6266.694076260068,30
A. Bernoláka,6259.195228142615,27
Ondavská,6209.764010166557,42
K Surdoku,6207.5462133347855,53
Senecká cesta,6185.415101156645,45
Priečna,6176.690941017163,34
Lamačská cesta,6171.717776331704,67
Matice slovenskej,6164.339132128528,75
Jaseňová,6151.104904494126,54
Ševčenkova,6129.124108125432,44
Kmeťova,6110.446256017887,57
Šípková,6083.784250178322,36
Garbiarska,6076.36360365609,49
Prostějovská,6073.113704936189,29
Svornosti,6068.096890299688,49
Novozámocká cesta,6065.112315929762,25
Hlboká cesta,6059.7457411190935,33
Tolstého,6059.270218986745,28
Žiarska,6058.233456441978,24
Kláštorná,6053.765413541298,40
Pivničná,6042.2082945721695,29
Herlianska,6038.492154037756,41
Modranská,6023.633326012676,29
Strojárenská,6020.5862007573505,39
Baštová,6007.291288088363,29
Generála Svobodu,6001.38981238054,40
Jiklínská cesta,5980.930966244861,6
Manina,5959.880792996777,19
Hoštáky,5959.809931045996,28
Slivková,5949.676022736024,37
Mýtna,5938.495537608794,39
J. G. Tajovského,5936.190714273025,39
Ovocinárska,5933.196154884543,18
Jiráskova,5914.959843396746,60
Slávičia,5891.9568234439275,26
účelová cesta Armády SR,5889.892818526627,14
Októbrová,5881.670888351912,30
Baba,5867.331084756481,4
Hodžova,5849.382423410352,43
Volgogradská,5843.7917725136285,46
Dlhý rad,5842.176253785093,21
Lučenecká cesta,5830.131886640162,45
Bojnická,5814.713510638898,55
Kyslinky,5814.271648645982,2
Platanová,5797.607682647714,36
Špaňodolinský banský vodovod,5790.090541796791,17
Podjavorinskej,5772.783882012151,36
Einsteinova,5766.910495862726,60
Perlová,5760.04754141358,14
L. Novomeského,5756.314731746363,39
Pekná cesta,5746.861610712496,38
Buková,5745.712335469289,33
Rajňanská,5742.4352262123875,9
Bezručova,5740.407921640765,48
Ivanská cesta,5735.275089756138,78
Rajecká,5724.78622188073,25
Slnečné jazerá,5720.7283291943895,25
Fándlyho,5717.005239260738,21
Pod horou,5700.601460460475,40
J. Hollého,5689.754232462465,31
Nová cesta,5653.809170361456,14
Malinovská,5652.039903003601,19
Humenská cesta,5648.738581035739,48
Golfová,5647.957404358076,35
Tokajská,5643.720634866827,15
Mojmírova,5642.396724536768,35
Kossuth Lajos utca,5640.939157474674,12
Astrová,5633.81824449617,39
Šugovská dolina,5595.6275455238,8
Žilinská cesta,5595.194162878498,42
Tunel Havran,5579.790951359547,2
Slavkovská,5559.494354202621,21
Dopravná,5557.836336975951,34
Kamenárska,5553.428146867402,21
Pri letisku,5538.210914758536,57
Prístavná,5530.962307074011,49
Pekná,5527.310964952121,33
Nábrežie,5525.560156939739,44
